t,a,v,d
0.0,0.016,0.0,0.0
0.01599999999598367,-0.001,0.0,0.0
0.023999999997613486,-0.004,0.0,0.0
0.030999999995401595,-0.033,-0.0,0.0
0.0319999999992433,-0.035,-0.0,0.0
0.0319999999992433,-0.036,-0.0,0.0
0.040000000000873115,0.005,-0.0,0.0
0.040000000000873115,0.008,-0.0,0.0
0.046999999998661224,-0.01,-0.0,0.0
0.046999999998661224,-0.011,-0.0,0.0
0.055999999996856786,-0.007,-0.0,-0.0
0.055999999996856786,-0.006,-0.0,-0.0
0.0629999999946449,-0.037,-0.0,-0.0
0.0629999999946449,-0.04,-0.0,-0.0
0.07200000000011642,0.004,-0.001,-0.0
0.07200000000011642,0.007,-0.001,-0.0
0.08799999999610009,-0.027,-0.001,-0.0
0.08799999999610009,-0.029,-0.001,-0.0
0.10399999999935972,-0.015,-0.001,-0.0
0.10399999999935972,-0.014,-0.001,-0.0
0.11099999999714782,0.022,-0.001,-0.0
0.11099999999714782,0.025,-0.001,-0.0
0.11999999999534339,0.02,-0.001,-0.0
0.12599999999656575,0.012,-0.001,-0.0
0.12599999999656575,0.011,-0.001,-0.0
0.15099999999802094,0.002,-0.001,-0.0
0.15099999999802094,0.001,-0.001,-0.0
0.1599999999962165,-0.021,-0.001,-0.0
0.1610000000000582,-0.023,-0.001,-0.0
0.1610000000000582,-0.024,-0.001,-0.0
0.17499999999563443,0.011,-0.001,-0.0
0.17499999999563443,0.014,-0.001,-0.0
0.17499999999563443,0.015,-0.001,-0.0
0.18400000000110595,-0.034,-0.001,-0.0
0.18400000000110595,-0.038,-0.001,-0.0
0.19099999999889405,0.009,-0.001,-0.0
0.19099999999889405,0.013,-0.001,-0.0
0.19999999999708962,0.026,-0.001,-0.0
0.19999999999708962,0.027,-0.001,-0.0
0.21600000000034925,0.009,-0.0,-0.0
0.21600000000034925,0.008,-0.0,-0.0
0.22299999999813735,-0.024,-0.0,-0.0
0.22299999999813735,-0.045,-0.001,-0.0
0.22299999999813735,-0.047,-0.001,-0.0
0.23199999999633292,-0.025,-0.001,-0.0
0.23199999999633292,-0.023,-0.001,-0.0
0.23899999999412103,0.007,-0.001,-0.0
0.23899999999412103,0.009,-0.001,-0.0
0.24799999999959255,0.002,-0.001,-0.0
0.25499999999738066,0.019,-0.001,-0.0
0.25499999999738066,0.02,-0.001,-0.0
0.25600000000122236,0.021,-0.001,-0.0
0.2639999999955762,-0.032,-0.001,-0.0
0.2639999999955762,-0.036,-0.001,-0.0
0.2639999999955762,-0.037,-0.001,-0.0
0.27999999999883585,-0.013,-0.001,-0.0
0.27999999999883585,-0.011,-0.001,-0.0
0.2959999999948195,0.004,-0.001,-0.0
0.2959999999948195,0.005,-0.001,-0.0
0.3029999999998836,-0.019,-0.001,-0.0
0.3029999999998836,-0.021,-0.001,-0.0
0.31199999999807915,0.035,-0.001,-0.0
0.31199999999807915,0.039,-0.001,-0.0
0.3279999999940628,0.033,-0.001,-0.0
0.3279999999940628,0.032,-0.001,-0.0
0.3349999999991269,0.027,-0.0,-0.0
0.34399999999732245,0.034,-0.0,-0.0
0.34399999999732245,0.035,-0.0,-0.0
0.35099999999511056,0.003,-0.0,-0.0
0.35199999999895226,0.001,-0.0,-0.0
0.3600000000005821,-0.037,-0.0,-0.0
0.3600000000005821,-0.04,-0.0,-0.0
