arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.232238,9.85693,0.059855,-0.00705321,-0.0308352,-0.0158211,0,0,0,0,0,0,516576
0.263362,9.87369,0.0885855,0.0240714,-0.0140753,0.0129094,1.39889e-05,-3.69164e-05,-2.39342e-06,1.14989e-08,-3.03453e-08,-1.96739e-09,518220
0.251391,9.89284,0.100556,0.0121004,0.00507832,0.0248804,4.24923e-05,-4.4006e-05,2.73849e-05,5.60062e-08,-9.41121e-08,1.77259e-08,519796
0.196325,9.85693,0.0933739,-0.0429662,-0.0308352,0.0176978,1.88491e-05,-6.37357e-05,5.99997e-05,1.02994e-07,-1.76642e-07,8.46625e-08,521328
0.208296,9.86411,0.047884,-0.0309952,-0.0236521,-0.0277921,-3.84341e-05,-0.000105936,5.21817e-05,8.78251e-08,-3.08053e-07,1.71547e-07,522877
0.234632,9.89524,0.0670376,-0.00465901,0.00747204,-0.00863845,-6.58878e-05,-0.000118395,2.41302e-05,7.49726e-09,-4.80788e-07,2.30307e-07,524417
0.213084,9.88566,0.071826,-0.0262068,-0.00210476,-0.00385005,-8.93767e-05,-0.00011431,1.46265e-05,-1.10659e-07,-6.57876e-07,2.59801e-07,525939
0.237026,9.80426,0.129287,-0.00226481,-0.0835075,0.0536108,-0.000112581,-0.000184084,5.51815e-05,-2.75255e-07,-9.01068e-07,3.16695e-07,527569
0.213084,9.83059,0.0526724,-0.0262068,-0.0571709,-0.0230037,-0.000133664,-0.000288257,7.7846e-05,-4.57599e-07,-1.25084e-06,4.15201e-07,529050
0.260968,9.91918,0.0550666,0.0216772,0.031414,-0.0206095,-0.000137492,-0.000310021,4.0993e-05,-6.86726e-07,-1.75638e-06,5.1562e-07,530740
0.222661,9.91439,0.00718261,-0.01663,0.0266256,-0.0684935,-0.000133548,-0.000264663,-2.8641e-05,-8.98544e-07,-2.2055e-06,5.25273e-07,532303
0.251391,9.80186,0.0837971,0.0121004,-0.0859013,0.00812096,-0.000136981,-0.000309594,-7.44034e-05,-1.1036e-06,-2.64078e-06,4.47166e-07,533819
0.237026,9.89045,0.0407014,-0.00226481,0.00268364,-0.0349747,-0.00012595,-0.000402923,-0.00010452,-1.39848e-06,-3.43987e-06,2.46503e-07,536062
0.196325,9.89524,0.0574608,-0.0429662,0.00747204,-0.0182153,-0.000158856,-0.000395534,-0.000143215,-1.60568e-06,-4.02075e-06,6.6276e-08,537517
0.213084,9.83059,0.110133,-0.0262068,-0.0571709,0.0344572,-0.000214436,-0.000435467,-0.000130165,-1.90562e-06,-4.68846e-06,-1.53385e-07,539124
0.25618,9.8689,0.0574608,0.0168888,-0.0188637,-0.0182153,-0.000221411,-0.000492379,-0.000118008,-2.23185e-06,-5.38295e-06,-3.39143e-07,540621
0.241814,9.90002,0.0622492,0.0025236,0.0122604,-0.0134269,-0.000206512,-0.000497447,-0.000142293,-2.56028e-06,-6.14264e-06,-5.38924e-07,542156
0.201113,9.89045,0.0502782,-0.0381778,0.00268364,-0.0253979,-0.000233984,-0.000485933,-0.000172208,-2.89968e-06,-6.90034e-06,-7.81247e-07,543697
