arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.40462,6.91445,7.07487,-0.0159039,0.0105615,-0.0496693,0,0,0,0,0,0,503010
0.395043,6.93121,7.07487,-0.0254807,0.0273209,-0.0496693,-3.18247e-05,2.91315e-05,-7.63913e-05,-2.44732e-08,2.24021e-08,-5.87449e-08,504548
0.409408,6.90727,7.07965,-0.0111155,0.00337887,-0.0448809,-5.99305e-05,5.27089e-05,-0.000149006,-9.49412e-08,8.52556e-08,-2.3185e-07,506084
0.390255,6.90488,7.12754,-0.0302691,0.000984669,0.00300312,-8.98101e-05,5.58594e-05,-0.000179242,-2.03054e-07,1.63642e-07,-4.68845e-07,507528
0.399832,6.87615,7.12993,-0.0206923,-0.0277457,0.00539732,-0.000129611,3.4959e-05,-0.000172681,-3.74422e-07,2.34571e-07,-7.43696e-07,509090
0.459687,6.90727,7.15627,0.0391628,0.00337887,0.0317335,-0.000114862,1.55021e-05,-0.000143032,-5.69634e-07,2.74864e-07,-9.95793e-07,510687
0.426168,6.8953,7.08205,0.00564396,-0.00859213,-0.0424867,-8.10779e-05,1.15713e-05,-0.00015114,-7.17372e-07,2.95277e-07,-1.2176e-06,512195
0.40462,6.88572,7.1419,-0.0159039,-0.0181689,0.0173683,-8.93423e-05,-9.98477e-06,-0.000171373,-8.54646e-07,2.96555e-07,-1.47738e-06,513806
0.409408,6.91685,7.11317,-0.0111155,0.0129557,-0.0113621,-0.000109728,-1.39182e-05,-0.000166841,-1.00484e-06,2.78521e-07,-1.73256e-06,515315
0.442927,6.87615,7.17063,0.0224034,-0.0277457,0.0460987,-0.000100969,-2.53953e-05,-0.000139885,-1.16835e-06,2.48013e-07,-1.97058e-06,516867
0.418985,6.90967,7.12514,-0.00153866,0.00577307,0.000608921,-8.4997e-05,-4.22153e-05,-0.000104131,-1.3107e-06,1.96258e-07,-2.15738e-06,518398
0.402226,6.92643,7.10838,-0.0182981,0.0225325,-0.0161505,-0.000100291,-2.03918e-05,-0.000116113,-1.45356e-06,1.47987e-07,-2.32719e-06,519940
0.397437,6.90248,7.185,-0.0230865,-0.00140953,0.0604639,-0.000133833,-3.27163e-06,-8.0197e-05,-1.64332e-06,1.28808e-07,-2.48629e-06,521561
0.402226,6.88333,7.09641,-0.0182981,-0.0205631,-0.0281215,-0.000163609,-1.9081e-05,-5.69266e-05,-1.85733e-06,1.12726e-07,-2.58495e-06,523000
0.45011,6.8953,7.13951,0.029586,-0.00859213,0.0149741,-0.000155787,-3.92855e-05,-6.60378e-05,-2.07867e-06,7.22776e-08,-2.67017e-06,524386
0.45011,6.87375,7.09641,0.029586,-0.0301399,-0.0281215,-0.000110461,-6.89543e-05,-7.61086e-05,-2.28262e-06,-1.06341e-08,-2.77905e-06,525918
0.466869,6.91685,7.09163,0.0463454,0.0129557,-0.0329099,-5.58286e-05,-8.13184e-05,-0.000120021,-2.40226e-06,-1.18755e-07,-2.92017e-06,527357
0.438139,6.85699,7.07247,0.017615,-0.0468993,-0.0520635,-7.15482e-06,-0.000107149,-0.000184685,-2.45019e-06,-2.62179e-07,-3.15205e-06,528879
0.430956,6.87854,7.0198,0.0104324,-0.0253515,-0.104736,1.31935e-05,-0.000159567,-0.000298443,-2.44581e-06,-4.55682e-07,-3.50256e-06,530330
0.411803,6.87854,7.15148,-0.00872126,-0.0253515,0.0269451,1.43879e-05,-0.000194958,-0.000352741,-2.42656e-06,-7.03141e-07,-3.95709e-06,531726
0.430956,6.89051,7.14669,0.0104324,-0.0133805,0.0221567,1.57277e-05,-0.000225285,-0.000314295,-2.40298e-06,-1.03219e-06,-4.47938e-06,533292
0.452504,6.91445,7.17542,0.0319802,0.0105615,0.0508871,4.71341e-05,-0.000227373,-0.000260206,-2.35643e-06,-1.36739e-06,-4.90479e-06,534773
0.462081,6.92164,7.15627,0.041557,0.0177441,0.0317335,0.000100375,-0.00020688,-0.000200388,-2.24963e-06,-1.68178e-06,-5.23826e-06,536221
0.447716,6.88333,7.1826,0.0271918,-0.0205631,0.0580697,0.000155168,-0.000209126,-0.000128815,-2.04596e-06,-2.01334e-06,-5.50064e-06,537815
0.40462,6.87854,7.15387,-0.0159039,-0.0253515,0.0293393,0.000163318,-0.000242277,-6.57058e-05,-1.81602e-06,-2.33925e-06,-5.64108e-06,539259
0.438139,6.85221,7.08444,0.017615,-0.0516877,-0.0400925,0.000164556,-0.000298053,-7.3491e-05,-1.57864e-06,-2.73045e-06,-5.74186e-06,540707
0.416591,6.88333,7.11796,-0.00393286,-0.0205631,-0.00657368,0.000174674,-0.000351483,-0.000108001,-1.32778e-06,-3.21079e-06,-5.87607e-06,542186
0.40462,6.86418,7.07487,-0.0159039,-0.0397167,-0.0496693,0.000160045,-0.000395939,-0.00014948,-1.08092e-06,-3.76201e-06,-6.06597e-06,543661
0.399832,6.87136,7.1419,-0.0206923,-0.0325341,0.0173683,0.000131299,-0.000452692,-0.000174852,-8.5207e-07,-4.42861e-06,-6.32073e-06,545232
0.411803,6.90727,7.12275,-0.00872126,0.00337887,-0.00178528,0.000106562,-0.000477212,-0.000161747,-6.5203e-07,-5.21066e-06,-6.60381e-06,546914
0.416591,6.90727,7.09641,-0.00393286,0.00337887,-0.0281215,9.61791e-05,-0.000471667,-0.000186285,-4.85681e-07,-5.98921e-06,-6.88937e-06,548555
0.452504,6.86896,7.11078,0.0319802,-0.0349283,-0.0137563,0.000118042,-0.00049626,-0.000218929,-3.18696e-07,-6.74371e-06,-7.20523e-06,550114
0.447716,6.90967,7.12754,0.0271918,0.00577307,0.00300312,0.000162303,-0.000518068,-0.000226972,-1.08998e-07,-7.50243e-06,-7.53877e-06,551610
0.447716,6.89291,7.16585,0.0271918,-0.0109863,0.0413103,0.000204695,-0.000522132,-0.00019243,1.77077e-07,-8.31327e-06,-7.86569e-06,553169
0.42138,6.84502,7.13233,0.000855565,-0.0588703,0.00779152,0.000225267,-0.000573372,-0.000156414,4.92454e-07,-9.11682e-06,-8.12157e-06,554636
0.411803,6.89051,7.15387,-0.00872126,-0.0133805,0.0293393,0.000219301,-0.000628174,-0.00012825,8.29659e-07,-1.00282e-05,-8.33749e-06,556153
0.442927,6.93361,7.11317,0.0224034,0.0297151,-0.0113621,0.000230035,-0.000615359,-0.000114147,1.18216e-06,-1.10037e-05,-8.52765e-06,557722
0.430956,6.93121,7.1012,0.0104324,0.0273209,-0.0233331,0.000253676,-0.000574294,-0.000139128,1.53043e-06,-1.18603e-05,-8.71001e-06,559162
0.414197,6.91206,7.13233,-0.00632706,0.00816727,0.00779152,0.00025678,-0.000547465,-0.000150877,1.91634e-06,-1.27083e-05,-8.92925e-06,560674
0.402226,6.8953,7.1012,-0.0182981,-0.00859213,-0.0233331,0.000238373,-0.000547782,-0.000162494,2.28647e-06,-1.3527e-05,-9.16349e-06,562169
0.42138,6.8953,7.12754,0.000855565,-0.00859213,0.00300312,0.000225369,-0.000560593,-0.00017765,2.63219e-06,-1.43533e-05,-9.41707e-06,563660
0.42138,6.90967,7.12993,0.000855565,0.00577307,0.00539732,0.000226731,-0.000562836,-0.000170968,2.99183e-06,-1.5247e-05,-9.6944e-06,565251
0.452504,6.87136,7.1419,0.0319802,-0.0325341,0.0173683,0.00025052,-0.000582224,-0.000154474,3.3376e-06,-1.60766e-05,-9.93018e-06,566700
0.435745,6.87136,7.13712,0.0152208,-0.0325341,0.0125799,0.000284387,-0.00062891,-0.000132986,3.7214e-06,-1.69456e-05,-1.01364e-05,568135
0.40462,6.8977,7.11557,-0.0159039,-0.00619793,-0.00896788,0.000283845,-0.000659606,-0.000130124,4.17172e-06,-1.79668e-05,-1.03449e-05,569720
0.392649,6.89291,7.09641,-0.0278749,-0.0109863,-0.0281215,0.000252872,-0.000671763,-0.000156364,4.55145e-06,-1.89087e-05,-1.05476e-05,571135
0.435745,6.87615,7.12514,0.0152208,-0.0277457,0.000608921,0.000243027,-0.000701897,-0.000177769,4.93726e-06,-1.99774e-05,-1.08076e-05,572691
0.454898,6.88572,7.13233,0.0343744,-0.0181689,0.00779152,0.000280323,-0.000736425,-0.000171452,5.33082e-06,-2.1059e-05,-1.10702e-05,574195
0.40462,6.90967,7.10599,-0.0159039,0.00577307,-0.0185447,0.000293585,-0.000745325,-0.000179173,5.74288e-06,-2.21229e-05,-1.1322e-05,575631
0.387861,6.86657,7.13233,-0.0326633,-0.0373225,0.00779152,0.000254585,-0.000770659,-0.000187808,6.18306e-06,-2.33403e-05,-1.16166e-05,577237
0.426168,6.8953,7.15387,0.00564396,-0.00859213,0.0293393,0.00023401,-0.000805623,-0.000159532,6.55513e-06,-2.45406e-05,-1.18811e-05,578760
0.392649,6.88333,7.12036,-0.0278749,-0.0205631,-0.00417948,0.000217426,-0.000827373,-0.000140763,6.8919e-06,-2.57588e-05,-1.21052e-05,580252
0.428562,6.8953,7.12993,0.00803816,-0.00859213,0.00539732,0.000198085,-0.000855799,-0.000139576,7.29702e-06,-2.73999e-05,-1.23785e-05,582202
0.414197,6.8953,7.11796,-0.00632706,-0.00859213,-0.00657368,0.000199366,-0.00086867,-0.000140457,7.59471e-06,-2.86915e-05,-1.25882e-05,583700
0.387861,6.92643,7.09641,-0.0326633,0.0225325,-0.0281215,0.000169266,-0.000857908,-0.000167241,7.8793e-06,-3.00244e-05,-1.28258e-05,585244
0.392649,6.94318,7.13472,-0.0278749,0.0392919,0.0101857,0.000125164,-0.000812869,-0.000180308,8.09379e-06,-3.12416e-05,-1.3079e-05,586701
0.414197,6.91924,7.17303,-0.00632706,0.0153499,0.0484929,0.000100932,-0.000774156,-0.000138734,8.25398e-06,-3.2366e-05,-1.3305e-05,588118
0.426168,6.86657,7.1036,0.00564396,-0.0373225,-0.0209389,0.000100391,-0.000791536,-0.000116939,8.41322e-06,-3.36045e-05,-1.35072e-05,589700
0.426168,6.87136,7.12993,0.00564396,-0.0325341,0.00539732,0.000108615,-0.000842427,-0.000128261,8.56548e-06,-3.47948e-05,-1.36859e-05,591157
0.452504,6.87854,7.17063,0.0319802,-0.0253515,0.0460987,0.000145693,-0.000899473,-7.75113e-05,8.81611e-06,-3.65115e-05,-1.38887e-05,593128
0.428562,6.89291,7.1012,0.00803816,-0.0109863,-0.0233331,0.000179449,-0.000930124,-5.83085e-05,9.09036e-06,-3.80547e-05,-1.40032e-05,594815
0.414197,6.88812,7.10838,-0.00632706,-0.0157747,-0.0161505,0.000180763,-0.000950676,-8.86319e-05,9.36701e-06,-3.94992e-05,-1.41161e-05,596351
0.409408,6.90727,7.11078,-0.0111155,0.00337887,-0.0137563,0.000165675,-0.000961399,-0.000114501,9.66667e-06,-4.11531e-05,-1.42918e-05,598081
0.430956,6.87136,7.08684,0.0104324,-0.0325341,-0.0376983,0.000165159,-0.000983411,-0.000153349,9.91645e-06,-4.26215e-05,-1.4494e-05,599591
0.430956,6.88094,7.11317,0.0104324,-0.0229573,-0.0113621,0.000180777,-0.00102495,-0.000190071,1.01754e-05,-4.41247e-05,-1.47511e-05,601088
0.423774,6.90009,7.1443,0.00324976,-0.00380373,0.0197625,0.000191674,-0.00104626,-0.00018338,1.0472e-05,-4.57744e-05,-1.50485e-05,602681
0.454898,6.90009,7.1036,0.0343744,-0.00380373,-0.0209389,0.000218538,-0.00105169,-0.00018422,1.07649e-05,-4.72724e-05,-1.5311e-05,604109
0.40462,6.86178,7.13233,-0.0159039,-0.0421109,0.00779152,0.000233148,-0.00108801,-0.00019462,1.11222e-05,-4.89649e-05,-1.56106e-05,605691
0.411803,6.86418,7.08444,-0.00872126,-0.0397167,-0.0400925,0.00021516,-0.00114779,-0.000218215,1.14497e-05,-5.05981e-05,-1.59122e-05,607152
0.416591,6.90727,7.09881,-0.00393286,0.00337887,-0.0257273,0.000205916,-0.00117433,-0.000266297,1.17573e-05,-5.22944e-05,-1.62662e-05,608613
0.430956,6.90967,7.11557,0.0104324,0.00577307,-0.00896788,0.000211024,-0.00116714,-0.000293567,1.2085e-05,-5.41348e-05,-1.67062e-05,610185
0.414197,6.89051,7.07726,-0.00632706,-0.0133805,-0.0472751,0.000214083,-0.00117281,-0.000335468,1.24017e-05,-5.58781e-05,-1.71748e-05,611675
0.430956,6.87615,7.10599,0.0104324,-0.0277457,-0.0185447,0.000217338,-0.00120542,-0.000387663,1.27438e-05,-5.7764e-05,-1.77483e-05,613261
0.402226,6.87615,7.12993,-0.0182981,-0.0277457,0.00539732,0.000211471,-0.00124682,-0.000397471,1.30637e-05,-5.95934e-05,-1.8334e-05,614753
0.414197,6.91206,7.10838,-0.00632706,0.00816727,-0.0161505,0.000193568,-0.00126105,-0.000405289,1.33582e-05,-6.14166e-05,-1.89176e-05,616207
0.438139,6.90727,7.17782,0.017615,0.00337887,0.0532813,0.000202288,-0.00125213,-0.000376605,1.3664e-05,-6.3358e-05,-1.95216e-05,617752
0.435745,6.92403,7.16824,0.0152208,0.0201383,0.0437045,0.000226127,-0.00123506,-0.000306193,1.3975e-05,-6.51637e-05,-2.00173e-05,619204
