arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.426168,6.90488,7.12993,0.00526738,0.0114441,0.0281353,0,0,0,0,0,0,510329
0.383072,6.88572,7.08684,-0.0378283,-0.0077095,-0.0149603,-2.58696e-05,2.96713e-06,1.04675e-05,-2.05534e-08,2.35739e-09,8.31647e-09,511918
0.40462,6.89291,7.08205,-0.0162804,-0.000526905,-0.0197487,-6.73169e-05,-3.34196e-06,-1.61195e-05,-9.19343e-08,2.07027e-09,3.98705e-09,513450
0.418985,6.88333,7.06289,-0.00191525,-0.0101037,-0.0389023,-8.05543e-05,-1.10757e-05,-5.87881e-05,-1.99511e-07,-8.4186e-09,-5.05083e-08,514905
0.438139,6.8977,7.1036,0.0172384,0.00426149,0.00179911,-6.87401e-05,-1.55801e-05,-8.73947e-05,-3.14617e-07,-2.89702e-08,-1.63215e-07,516447
0.442927,6.8977,7.12754,0.0220268,0.00426149,0.0257411,-3.79759e-05,-8.90231e-06,-6.58169e-05,-3.98229e-07,-4.81522e-08,-2.83256e-07,518014
0.452504,6.86896,7.09402,0.0316036,-0.0244689,-0.00777769,5.7597e-06,-2.53814e-05,-5.11677e-05,-4.24501e-07,-7.61106e-08,-3.78657e-07,519645
0.418985,6.88094,7.08684,-0.00191525,-0.0124979,-0.0149603,2.75955e-05,-5.25705e-05,-6.78915e-05,-3.99968e-07,-1.33444e-07,-4.66226e-07,521116
0.447716,6.89051,7.08444,0.0268152,-0.0029211,-0.0173545,4.64572e-05,-6.42504e-05,-9.237e-05,-3.43873e-07,-2.21936e-07,-5.87624e-07,522631
0.445322,6.8953,7.11078,0.024421,0.00186729,0.0089817,9.05203e-05,-6.51567e-05,-9.95706e-05,-2.26073e-07,-3.33226e-07,-7.52692e-07,524351
0.418985,6.86418,7.13472,-0.00191525,-0.0292573,0.0329237,0.000107197,-8.54527e-05,-6.85187e-05,-7.9564e-08,-4.44828e-07,-8.77247e-07,525833
0.426168,6.88333,7.12754,0.00526738,-0.0101037,0.0257411,0.000110132,-0.000119913,-1.71576e-05,1.10707e-07,-6.24626e-07,-9.52256e-07,527584
0.426168,6.90727,7.11078,0.00526738,0.0138383,0.0089817,0.000118475,-0.000116955,1.03428e-05,2.91764e-07,-8.12226e-07,-9.57654e-07,529168
0.368707,6.88094,7.11317,-0.0521935,-0.0124979,0.0113759,8.4102e-05,-0.000115974,2.52548e-05,4.40152e-07,-9.82846e-07,-9.31578e-07,530633
0.423774,6.88333,7.13951,0.00287318,-0.0101037,0.0377121,4.34128e-05,-0.00013462,6.57524e-05,5.45352e-07,-1.18959e-06,-8.56497e-07,532283
0.397437,6.90009,7.08684,-0.023463,0.00665569,-0.0149603,2.79601e-05,-0.000137208,8.28276e-05,5.98917e-07,-1.39359e-06,-7.44988e-07,533784
0.42138,6.8953,7.05811,0.000478983,0.00186729,-0.0436907,1.04347e-05,-0.000130709,3.81062e-05,6.28193e-07,-1.59788e-06,-6.52776e-07,535309
0.452504,6.8977,7.09641,0.0316036,0.00426149,-0.00538349,3.51864e-05,-0.000125981,2.45513e-07,6.6339e-07,-1.79591e-06,-6.23188e-07,536852
