arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.447716,6.87136,7.1419,0.027407,-0.0391111,0.0166607,0,0,0,0,0,0,503914
0.430956,6.8953,7.12275,0.0106476,-0.0151691,-0.0024929,2.85029e-05,-4.06559e-05,1.06117e-05,2.13487e-08,-3.04513e-08,7.94814e-09,505412
0.447716,6.91445,7.12275,0.027407,0.00398445,-0.0024929,6.28281e-05,-5.07445e-05,6.11447e-06,1.03729e-07,-1.12894e-07,2.30351e-08,507216
0.407014,6.87615,7.07726,-0.0132944,-0.0343227,-0.0479827,7.35748e-05,-7.38471e-05,-3.23227e-05,2.076e-07,-2.07771e-07,3.07756e-09,508739
0.447716,6.88572,7.07726,0.027407,-0.0247459,-0.0479827,8.44133e-05,-0.000119212,-0.000106024,3.28935e-07,-3.5604e-07,-1.03173e-07,510275
0.397437,6.88812,7.13472,-0.0228712,-0.0223517,0.00947809,8.79126e-05,-0.000155548,-0.00013573,4.61884e-07,-5.68017e-07,-2.89686e-07,511818
0.42138,6.91206,7.13472,0.0010708,0.00159025,0.00947809,7.18893e-05,-0.000170807,-0.000121798,5.79339e-07,-8.07888e-07,-4.78969e-07,513288
0.373495,6.88572,7.1036,-0.0468132,-0.0247459,-0.0216465,3.22535e-05,-0.000190872,-0.000132342,6.69579e-07,-1.12128e-06,-6.99181e-07,515021
0.433351,6.88094,7.12993,0.0130418,-0.0295343,0.00468969,6.08059e-06,-0.000232939,-0.000145483,6.99287e-07,-1.44974e-06,-9.14495e-07,516571
0.459687,6.85939,7.08684,0.039378,-0.0510821,-0.0384059,4.69156e-05,-0.000295739,-0.000171748,7.40572e-07,-1.86158e-06,-1.16162e-06,518129
0.402226,6.90488,7.11796,-0.0180828,-0.00559235,-0.0072813,6.39837e-05,-0.000341164,-0.000208366,8.29457e-07,-2.37206e-06,-1.46628e-06,519732
0.416591,6.89051,7.09641,-0.00371763,-0.0199575,-0.0288291,4.83528e-05,-0.000359483,-0.000234257,9.10003e-07,-2.87442e-06,-1.78364e-06,521166
0.380678,6.8977,7.07247,-0.0396307,-0.0127749,-0.0527711,1.41943e-05,-0.000385276,-0.000298558,9.5929e-07,-3.46129e-06,-2.2035e-06,522742
0.395043,6.86418,7.1012,-0.0252654,-0.0462937,-0.0240407,-3.44453e-05,-0.000429548,-0.000356129,9.44112e-07,-4.072e-06,-2.69419e-06,524241
0.35913,6.87615,7.12514,-0.0611784,-0.0343227,-9.87053e-05,-9.81544e-05,-0.000488963,-0.00037392,8.46386e-07,-4.74894e-06,-3.23223e-06,525715
0.373495,6.8977,7.09163,-0.0468132,-0.0127749,-0.0336175,-0.000190649,-0.000529302,-0.000402797,5.99025e-07,-5.62109e-06,-3.89749e-06,527428
0.418985,6.90967,7.09402,-0.00132343,-0.000803947,-0.0312233,-0.000228316,-0.000539927,-0.000453535,2.71185e-07,-6.45776e-06,-4.56757e-06,528993
0.409408,6.88333,7.12036,-0.0109002,-0.0271401,-0.0048871,-0.000237936,-0.000561919,-0.000481954,-9.57559e-08,-7.32491e-06,-5.3038e-06,530567
0.409408,6.87375,7.14669,-0.0109002,-0.0367169,0.0214491,-0.000254123,-0.000609333,-0.000469657,-4.6111e-07,-8.19457e-06,-6.01037e-06,532052
0.464475,6.94318,7.10599,0.0441664,0.0327148,-0.0192523,-0.000229423,-0.000612305,-0.000468026,-8.20143e-07,-9.10163e-06,-6.7066e-06,533537
0.454898,6.90727,7.09881,0.0345896,-0.00319815,-0.0264349,-0.000166733,-0.000588809,-0.000504393,-1.13548e-06,-1.00577e-05,-7.48065e-06,535129
0.402226,6.91685,7.06768,-0.0180828,0.00637865,-0.0575595,-0.000154832,-0.000586516,-0.000564953,-1.36733e-06,-1.09051e-05,-8.25165e-06,536571
0.426168,6.89291,7.1012,0.0058592,-0.0175633,-0.0240407,-0.000164281,-0.000595162,-0.00062803,-1.61401e-06,-1.18186e-05,-9.17382e-06,538117
0.416591,6.8953,7.05332,-0.00371763,-0.0151691,-0.0719247,-0.000162704,-0.000619253,-0.00069866,-1.85467e-06,-1.27124e-05,-1.01503e-05,539589
0.418985,6.90727,7.06289,-0.00132343,-0.00319815,-0.0623479,-0.000166324,-0.000632441,-0.000795068,-2.09091e-06,-1.36111e-05,-1.12228e-05,541025
0.399832,6.92882,7.11078,-0.020477,0.0183496,-0.0144639,-0.000183165,-0.000620736,-0.000854405,-2.36089e-06,-1.45792e-05,-1.2497e-05,542570
0.407014,6.9384,7.13233,-0.0132944,0.0279264,0.00708389,-0.000207784,-0.000587001,-0.000859785,-2.64589e-06,-1.54596e-05,-1.37466e-05,544028
0.418985,6.91445,7.15387,-0.00132343,0.00398445,0.0286317,-0.000218156,-0.00056436,-0.000834445,-2.94809e-06,-1.62765e-05,-1.49487e-05,545447
0.442927,6.8977,7.15387,0.0226186,-0.0127749,0.0286317,-0.000201343,-0.0005713,-0.000789236,-3.27929e-06,-1.71731e-05,-1.62306e-05,547026
0.368707,6.8953,7.12036,-0.0516016,-0.0151691,-0.0048871,-0.000222689,-0.000591881,-0.000771748,-3.59159e-06,-1.80298e-05,-1.73802e-05,548499
0.402226,6.8953,7.13951,-0.0180828,-0.0151691,0.0142665,-0.000272304,-0.000613482,-0.00076507,-3.94402e-06,-1.8888e-05,-1.84745e-05,549923
0.423774,6.86178,7.11317,0.003465,-0.0486879,-0.0120697,-0.000283867,-0.000663993,-0.000763332,-4.38396e-06,-1.98985e-05,-1.96834e-05,551505
0.435745,6.88572,7.17063,0.015436,-0.0247459,0.0453911,-0.000269918,-0.000718187,-0.000738741,-4.79265e-06,-2.09185e-05,-2.0792e-05,552981
0.387861,6.90727,7.05571,-0.0324481,-0.00319815,-0.0695305,-0.000283519,-0.000740529,-0.00075804,-5.23512e-06,-2.20848e-05,-2.19886e-05,554580
0.395043,6.91924,7.12754,-0.0252654,0.00877285,0.00229549,-0.000327728,-0.000736258,-0.000809542,-5.70334e-06,-2.3216e-05,-2.31894e-05,556112
0.414197,6.90248,7.1443,-0.00611183,-0.00798655,0.0190549,-0.000352312,-0.000735642,-0.000792814,-6.23615e-06,-2.43692e-05,-2.44448e-05,557679
0.428562,6.90967,7.17303,0.0082534,-0.000803947,0.0477853,-0.000350575,-0.000742771,-0.000738607,-6.80619e-06,-2.55682e-05,-2.56868e-05,559301
0.423774,6.88333,7.1012,0.003465,-0.0271401,-0.0240407,-0.000341927,-0.000763394,-0.000721083,-7.31726e-06,-2.66798e-05,-2.67641e-05,560777
0.416591,6.89291,7.10838,-0.00371763,-0.0175633,-0.0168581,-0.000342115,-0.000796698,-0.000751553,-7.82687e-06,-2.78421e-05,-2.78612e-05,562267
0.435745,6.92403,7.14669,0.015436,0.0135612,0.0214491,-0.000333643,-0.000799592,-0.000748234,-8.31544e-06,-2.89962e-05,-2.89455e-05,563713
0.45011,6.8977,7.13233,0.0298012,-0.0127749,0.00708389,-0.000302067,-0.000799043,-0.000728318,-8.75917e-06,-3.0112e-05,-2.99762e-05,565109
0.42138,6.90727,7.10838,0.0010708,-0.00319815,-0.0168581,-0.00027774,-0.00081163,-0.00073602,-9.21605e-06,-3.13812e-05,-3.11301e-05,566685
0.416591,6.8953,7.13951,-0.00371763,-0.0151691,0.0142665,-0.000279664,-0.000824983,-0.000737904,-9.62129e-06,-3.2571e-05,-3.22016e-05,568139
0.430956,6.88572,7.09881,0.0106476,-0.0247459,-0.0264349,-0.000274612,-0.000854081,-0.000746775,-1.00254e-05,-3.37951e-05,-3.32839e-05,569597
0.418985,6.90009,7.07247,-0.00132343,-0.0103807,-0.0527711,-0.000267372,-0.000881357,-0.000808278,-1.04462e-05,-3.51426e-05,-3.44914e-05,571150
0.433351,6.91685,7.05092,0.0130418,0.00637865,-0.0743189,-0.000259058,-0.000884196,-0.000898448,-1.08197e-05,-3.63953e-05,-3.57024e-05,572569
0.430956,6.89291,7.1036,0.0106476,-0.0175633,-0.0216465,-0.000242499,-0.000892014,-0.000965528,-1.11703e-05,-3.76369e-05,-3.70053e-05,573967
0.416591,6.90488,7.11796,-0.00371763,-0.00559235,-0.0072813,-0.000237132,-0.000909948,-0.000987933,-1.15418e-05,-3.90325e-05,-3.85182e-05,575516
0.426168,6.90009,7.1012,0.0058592,-0.0103807,-0.0240407,-0.000235505,-0.00092208,-0.00101172,-1.19007e-05,-4.04239e-05,-4.0037e-05,577035
0.447716,6.88572,7.1036,0.027407,-0.0247459,-0.0216465,-0.000209724,-0.000949303,-0.00104713,-1.22458e-05,-4.18742e-05,-4.16326e-05,578585
0.457293,6.90967,7.1036,0.0369838,-0.000803947,-0.0216465,-0.000160851,-0.000968695,-0.00107999,-1.25271e-05,-4.333e-05,-4.32471e-05,580103
0.371101,6.8546,7.17303,-0.0492074,-0.0558705,0.0477853,-0.000169866,-0.00101049,-0.00106071,-1.2771e-05,-4.47897e-05,-4.48258e-05,581578
0.418985,6.87136,7.12754,-0.00132343,-0.0391111,0.00229549,-0.000209887,-0.00108572,-0.00102105,-1.30717e-05,-4.64499e-05,-4.64746e-05,583162
0.428562,6.89291,7.13472,0.0082534,-0.0175633,0.00947809,-0.000204762,-0.00112763,-0.00101234,-1.33784e-05,-4.80866e-05,-4.79783e-05,584641
0.40462,6.88333,7.15148,-0.0156886,-0.0271401,0.0262375,-0.000210439,-0.00116176,-0.000985072,-1.36954e-05,-4.98346e-05,-4.95033e-05,586168
0.428562,6.90967,7.09641,0.0082534,-0.000803947,-0.0288291,-0.000215963,-0.00118252,-0.000986998,-1.40122e-05,-5.15764e-05,-5.09686e-05,587654
0.47884,6.88094,7.09163,0.0585316,-0.0295343,-0.0336175,-0.000169013,-0.00120385,-0.0010309,-1.42828e-05,-5.3254e-05,-5.23871e-05,589060
0.383072,6.88333,7.09641,-0.0372365,-0.0271401,-0.0288291,-0.000153244,-0.00124582,-0.00107714,-1.45215e-05,-5.5068e-05,-5.39481e-05,590541
0.433351,6.8977,7.11796,0.0130418,-0.0127749,-0.0072813,-0.000171294,-0.00127559,-0.00110408,-1.47636e-05,-5.69489e-05,-5.55753e-05,592033
0.426168,6.89291,7.09163,0.0058592,-0.0175633,-0.0336175,-0.000153914,-0.00130349,-0.00114168,-1.50626e-05,-5.93204e-05,-5.76403e-05,593872
0.402226,6.89051,7.16106,-0.0180828,-0.0199575,0.0358143,-0.000165294,-0.00133842,-0.00113964,-1.53598e-05,-6.178e-05,-5.97642e-05,595734
0.418985,6.87854,7.13712,-0.00132343,-0.0319285,0.0118723,-0.00018013,-0.00137809,-0.00110318,-1.56238e-05,-6.38568e-05,-6.14788e-05,597263
0.433351,6.87375,7.10838,0.0130418,-0.0367169,-0.0168581,-0.000171201,-0.0014304,-0.00110698,-1.58916e-05,-6.59969e-05,-6.3163e-05,598787
0.418985,6.89051,7.13233,-0.00132343,-0.0199575,0.00708389,-0.00016267,-0.00147166,-0.0011141,-1.61346e-05,-6.81096e-05,-6.47799e-05,600243
0.402226,6.90009,7.11796,-0.0180828,-0.0103807,-0.0072813,-0.000176002,-0.0014925,-0.00111423,-1.63673e-05,-7.0146e-05,-6.63108e-05,601617
0.42138,6.87375,7.13472,0.0010708,-0.0367169,0.00947809,-0.000190318,-0.00153213,-0.00111238,-1.66755e-05,-7.26912e-05,-6.81845e-05,603300
0.407014,6.89291,7.12754,-0.0132944,-0.0175633,0.00229549,-0.000199638,-0.00157352,-0.00110341,-1.69729e-05,-7.50592e-05,-6.9874e-05,604825
0.459687,6.90488,7.08444,0.039378,-0.00559235,-0.0408001,-0.000180349,-0.00159064,-0.00113188,-1.72539e-05,-7.73991e-05,-7.1527e-05,606304
0.454898,6.90967,7.06529,0.0345896,-0.000803947,-0.0599537,-0.000124948,-0.00159543,-0.00120735,-1.74826e-05,-7.97855e-05,-7.32791e-05,607802
0.433351,6.92643,7.05571,0.0130418,0.0159554,-0.0695305,-9.02243e-05,-0.00158439,-0.00130174,-1.76394e-05,-8.21036e-05,-7.51082e-05,609260
0.423774,6.8953,7.07965,0.003465,-0.0151691,-0.0455885,-7.75388e-05,-0.00158378,-0.00139021,-1.77683e-05,-8.45383e-05,-7.7177e-05,610797
0.442927,6.89291,7.11078,0.0226186,-0.0175633,-0.0144639,-5.81327e-05,-0.00160814,-0.00143489,-1.78693e-05,-8.69131e-05,-7.92789e-05,612285
0.418985,6.85939,7.12275,-0.00132343,-0.0510821,-0.0024929,-4.21613e-05,-0.00165962,-0.00144761,-1.79445e-05,-8.9364e-05,-8.14407e-05,613785
0.42138,6.90727,7.06289,0.0010708,-0.00319815,-0.0623479,-4.23605e-05,-0.00170242,-0.00149873,-1.80111e-05,-9.20149e-05,-8.37639e-05,615362
0.430956,6.90967,7.09641,0.0106476,-0.000803947,-0.0288291,-3.36889e-05,-0.00170538,-0.0015662,-1.80674e-05,-9.45367e-05,-8.6032e-05,616842
