arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
-9.51216,0,0.770933,0.0625305,-0.0221129,-0.000735581,0,0,0,0,0,0,503153
-9.58878,0.0311246,0.785298,-0.0140839,0.0090117,0.0136297,3.82486e-05,-1.03434e-05,1.01799e-05,3.01973e-08,-8.16612e-09,8.03702e-09,504732
-9.61511,0.00957681,0.80924,-0.0404205,-0.0125361,0.0375717,-2.27538e-06,-1.29638e-05,4.82481e-05,5.69434e-08,-2.5495e-08,5.14782e-08,506219
-9.6199,0.0383072,0.811634,-0.0452089,0.0161943,0.0399659,-6.53415e-05,-1.02696e-05,0.000105354,7.14359e-09,-4.26064e-08,1.64607e-07,507692
-9.61751,0.0215478,0.746991,-0.0428143,-0.000565106,-0.0246776,-0.000136376,2.34321e-06,0.000117692,-1.55643e-07,-4.9003e-08,3.44605e-07,509306
-9.57681,-0.0407014,0.814029,-0.00211334,-0.0628143,0.0423601,-0.00017142,-4.70928e-05,0.000131484,-3.95723e-07,-8.39076e-08,5.38963e-07,510866
-9.52892,0.0407014,0.799663,0.0457706,0.0185885,0.0279949,-0.000136472,-8.24955e-05,0.000187804,-6.42191e-07,-1.87643e-07,7.94553e-07,512467
-9.49062,0.0407014,0.749385,0.0840778,0.0185885,-0.0222834,-3.6229e-05,-5.37949e-05,0.000192213,-7.75516e-07,-2.92859e-07,1.08793e-06,514011
-9.56962,0.0143652,0.691924,0.00506973,-0.00774771,-0.0797442,3.03197e-05,-4.57022e-05,0.000116049,-7.79927e-07,-3.67134e-07,1.31804e-06,515504
-9.62708,0.0047884,0.708684,-0.0523911,-0.0173245,-0.0629848,-8.79142e-06,-6.64244e-05,-1.91626e-06,-7.62134e-07,-4.59807e-07,1.41237e-06,517157
-9.56005,0.0143652,0.749385,0.0146465,-0.00774771,-0.0222834,-3.74206e-05,-8.54417e-05,-6.65922e-05,-7.97186e-07,-5.74997e-07,1.36041e-06,518674
-9.52653,0.0407014,0.739808,0.0481653,0.0185885,-0.0318602,1.16354e-05,-7.69751e-05,-0.000108878,-8.17324e-07,-7.01845e-07,1.22337e-06,520236
-9.56962,0.0191536,0.78051,0.00506973,-0.00295931,0.00884128,7.00076e-05,-5.98376e-05,-0.000134119,-7.27803e-07,-8.5186e-07,9.56922e-07,522429
-9.55765,0.0454898,0.766145,0.0170403,0.0233769,-0.00552398,8.67228e-05,-4.44019e-05,-0.000131611,-6.09314e-07,-9.30665e-07,7.56031e-07,523941
-9.57202,0.0215478,0.766145,0.00267506,-0.000565106,-0.00552398,0.000102249,-2.64376e-05,-0.000140311,-4.60499e-07,-9.86451e-07,5.41893e-07,525516
-9.56484,0.047884,0.802058,0.00985813,0.0257711,0.0303891,0.000111536,-7.75999e-06,-0.000121886,-3.02085e-07,-1.01179e-06,3.47605e-07,526998
-9.54329,0.035913,0.758962,0.0314054,0.0138001,-0.0127066,0.00014465,2.39959e-05,-0.000107696,-9.64965e-08,-9.98762e-07,1.63366e-07,528603
-9.53611,0.0287304,0.742203,0.0385885,0.0066175,-0.029466,0.00019879,3.97889e-05,-0.000140316,1.69154e-07,-9.49425e-07,-2.84714e-08,530150
-9.56244,0.035913,0.739808,0.0122519,0.0138001,-0.0318602,0.000235802,5.46529e-05,-0.000184962,4.85537e-07,-8.80671e-07,-2.65274e-07,531606
-9.5792,0.0263362,0.802058,-0.00450706,0.0042233,0.0303891,0.000242009,6.90987e-05,-0.000186141,8.68503e-07,-7.81484e-07,-5.62712e-07,533209
-9.5816,0.0143652,0.826,-0.00690174,-0.00774771,0.0543311,0.000233327,6.64166e-05,-0.000121669,1.23023e-06,-6.78357e-07,-7.96955e-07,534731
-9.59117,0.023942,0.816423,-0.0164785,0.0018291,0.0447543,0.000215582,6.19244e-05,-4.64629e-05,1.57096e-06,-5.80946e-07,-9.24567e-07,536249
-9.58399,0.0646434,0.756568,-0.00929546,0.0425305,-0.0151008,0.000197398,9.32201e-05,-2.55424e-05,1.86231e-06,-4.71492e-07,-9.75366e-07,537660
-9.54329,0.023942,0.76375,0.0314054,0.0018291,-0.00791818,0.000214025,0.000126579,-4.28526e-05,2.1717e-06,-3.06203e-07,-1.0268e-06,539164
-9.54808,0.0383072,0.775721,0.0266171,0.0161943,0.00405282,0.000257658,0.000140132,-4.57594e-05,2.52641e-06,-1.05637e-07,-1.09344e-06,540668
-9.52174,0.0383072,0.754174,0.0529537,0.0161943,-0.017495,0.000316182,0.000163954,-5.56461e-05,2.94847e-06,1.18019e-07,-1.16802e-06,542139
-9.52892,0.0023942,0.746991,0.0457706,-0.0197187,-0.0246776,0.000389534,0.000161335,-8.69803e-05,3.47281e-06,3.59709e-07,-1.27399e-06,543625
-9.5385,0.00957681,0.782904,0.0361938,-0.0125361,0.0112355,0.00045486,0.000135628,-9.76936e-05,4.1458e-06,5.96388e-07,-1.42118e-06,545219
-9.6199,0,0.778116,-0.0452089,-0.0221129,0.00644702,0.000448117,0.000109711,-8.44671e-05,4.82122e-06,7.79902e-07,-1.55743e-06,546715
-9.58878,0.0167594,0.821211,-0.0140839,-0.00535351,0.0495427,0.000403351,8.89736e-05,-4.21949e-05,5.46408e-06,9.29909e-07,-1.65306e-06,548225
-9.57441,0.0215478,0.773327,0.000281334,-0.000565106,0.00165862,0.000393164,8.46056e-05,-4.40836e-06,6.05191e-06,1.05801e-06,-1.68746e-06,549701
-9.55047,0.0311246,0.749385,0.0242233,0.0090117,-0.0222834,0.000410514,9.05858e-05,-1.90107e-05,6.62091e-06,1.18205e-06,-1.70404e-06,551117
-9.52653,0,0.715866,0.0481653,-0.0221129,-0.0558022,0.000464515,8.08123e-05,-7.72625e-05,7.27368e-06,1.30991e-06,-1.77586e-06,552609
-9.53611,-0.0215478,0.739808,0.0385885,-0.0436607,-0.0318602,0.000528627,3.22056e-05,-0.000142045,8.00762e-06,1.39343e-06,-1.93792e-06,554087
-9.56005,0.0311246,0.754174,0.0146465,0.0090117,-0.017495,0.000566477,7.5701e-06,-0.000177137,8.78623e-06,1.42171e-06,-2.16486e-06,555509
-9.51935,0.0311246,0.737414,0.0553474,0.0090117,-0.0342544,0.000621912,2.18446e-05,-0.000218122,9.72744e-06,1.44501e-06,-2.47791e-06,557093
-9.54808,0.0263362,0.78051,0.0266171,0.0042233,0.00884128,0.000681828,3.15194e-05,-0.000236699,1.06805e-05,1.48401e-06,-2.81038e-06,558555
-9.55765,0,0.802058,0.0170403,-0.0221129,0.0303891,0.000715728,1.76281e-05,-0.000206237,1.17657e-05,1.52218e-06,-3.15432e-06,560108
