arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
10.0796,0.318429,-0.0790087,-0.0160475,0.00637838,-0.00738601,0,0,0,0,0,0,502575
10.0868,0.306458,-0.0814029,-0.0088644,-0.00559261,-0.00978021,-1.8522e-05,5.84219e-07,-1.27631e-05,-1.37711e-08,4.34366e-10,-9.48936e-09,504062
10.0556,0.320823,-0.0263362,-0.0399895,0.00877258,0.0452864,-5.89241e-05,3.21405e-06,1.66005e-05,-7.7819e-08,3.57554e-09,-6.31578e-09,505716
10.0604,0.318429,-0.0622492,-0.0352011,0.00637838,0.0093734,-0.000115843,1.46833e-05,5.7978e-05,-2.10118e-07,1.71239e-08,5.01402e-08,507230
10.0724,0.31364,-0.0981623,-0.0232296,0.00158998,-0.0265396,-0.000159491,2.06357e-05,4.51548e-05,-4.15793e-07,4.35072e-08,1.2718e-07,508724
10.082,0.294487,-0.0957681,-0.0136528,-0.0175636,-0.0241454,-0.000193054,6.09967e-06,-9.68554e-07,-7.36609e-07,6.78364e-08,1.6739e-07,510544
10.0844,0.323217,-0.0814029,-0.0112591,0.0111668,-0.00978021,-0.000212809,1.02696e-06,-2.78716e-05,-1.05846e-06,7.34878e-08,1.4452e-07,512130
10.0533,0.28491,-0.0837971,-0.0423832,-0.0271404,-0.0121744,-0.000256662,-1.20315e-05,-4.58195e-05,-1.44225e-06,6.44916e-08,8.42773e-08,513765
10.082,0.275333,-0.0766145,-0.0136528,-0.0367172,-0.00499181,-0.000300006,-6.14254e-05,-5.90976e-05,-1.87283e-06,7.67265e-09,3.12394e-09,515312
10.0628,0.296881,-0.0502782,-0.0328064,-0.0151694,0.0213444,-0.000333805,-9.91729e-05,-4.72011e-05,-2.33393e-06,-1.09163e-07,-7.42083e-08,516767
10.07,0.301669,-0.0311246,-0.0256243,-0.010381,0.040498,-0.000379819,-0.000119294,1.49984e-06,-2.89591e-06,-2.81205e-07,-1.10198e-07,518342
10.0628,0.299275,-0.023942,-0.0328064,-0.0127752,0.0476806,-0.000422532,-0.000136221,6.59584e-05,-3.48243e-06,-4.67987e-07,-6.0886e-08,519804
10.0772,0.287304,-0.047884,-0.0184412,-0.0247462,0.0237386,-0.000460045,-0.000163687,0.000118237,-4.12847e-06,-6.87519e-07,7.39453e-08,521268
10.1059,0.332794,-0.023942,0.0102892,0.0207436,0.0476806,-0.000466191,-0.000166705,0.000172087,-4.82686e-06,-9.36635e-07,2.9285e-07,522776
10.0868,0.31364,-0.071826,-0.0088644,0.00158998,-0.000203408,-0.00046514,-0.000150223,0.000207126,-5.51418e-06,-1.17053e-06,5.72709e-07,524252
10.0748,0.347159,-0.0407014,-0.0208359,0.0351088,0.0309212,-0.000488499,-0.000121359,0.000231285,-6.26421e-06,-1.38413e-06,9.17519e-07,525825
10.1011,0.318429,-0.0742203,0.00550079,0.00637838,-0.00259762,-0.000499556,-9.14467e-05,0.000251706,-6.9766e-06,-1.53756e-06,1.26576e-06,527267
10.0772,0.323217,-0.0502782,-0.0184412,0.0111668,0.0213444,-0.000508769,-7.89546e-05,0.000265054,-7.69453e-06,-1.65888e-06,1.63369e-06,528691
10.1035,0.332794,-0.0861913,0.00789452,0.0207436,-0.0145686,-0.000518035,-5.09213e-05,0.000271007,-8.59658e-06,-1.77298e-06,2.10462e-06,530448
10.1131,0.304064,-0.0790087,0.0174713,-0.00798681,-0.00738601,-0.000499543,-4.16216e-05,0.000255002,-9.33839e-06,-1.84044e-06,2.48808e-06,531906
10.058,0.328006,-0.035913,-0.0375948,0.0159552,0.0357096,-0.000515913,-3.51393e-05,0.000278043,-1.01645e-05,-1.90289e-06,2.92171e-06,533533
10.0868,0.316035,-0.0167594,-0.0088644,0.00398418,0.0548632,-0.000552523,-1.94271e-05,0.000349414,-1.10064e-05,-1.94589e-06,3.41615e-06,535109
10.0772,0.361524,-0.0837971,-0.0184412,0.049474,-0.0121744,-0.00057206,1.88223e-05,0.000379958,-1.1811e-05,-1.94632e-06,3.93801e-06,536540
10.1203,0.361524,-0.102951,0.0246544,0.049474,-0.031328,-0.000566857,0.000101691,0.000343525,-1.27649e-05,-1.84539e-06,4.54393e-06,538215
10.07,0.31364,-0.0670376,-0.0256243,0.00158998,0.00458499,-0.000567602,0.000140934,0.000322973,-1.36367e-05,-1.65893e-06,5.05614e-06,539752
10.0772,0.294487,-0.0550666,-0.0184412,-0.0175636,0.016556,-0.000600872,0.000128874,0.000338934,-1.45189e-05,-1.45523e-06,5.55588e-06,541262
10.1059,0.299275,-0.0287304,0.0102892,-0.0127752,0.0428922,-0.000607275,0.000105043,0.000385631,-1.54679e-05,-1.27149e-06,6.12502e-06,542833
10.0341,0.356736,-0.0670376,-0.0615368,0.0446856,0.00458499,-0.000645634,0.000128928,0.000421168,-1.64057e-05,-1.09636e-06,6.72891e-06,544330
10.0628,0.344765,-0.0766145,-0.0328064,0.0327146,-0.00499181,-0.000723278,0.000192628,0.000420833,-1.75323e-05,-8.31719e-07,7.42188e-06,545976
10.0987,0.31364,-0.0909797,0.00310612,0.00158998,-0.019357,-0.00074487,0.000217567,0.000403131,-1.85997e-05,-5.33507e-07,8.0209e-06,547430
10.1275,0.320823,-0.102951,0.0318365,0.00877258,-0.031328,-0.000719869,0.000224982,0.000366866,-1.96477e-05,-2.16863e-07,8.57183e-06,548861
10.07,0.306458,-0.0885855,-0.0256243,-0.00559261,-0.0169628,-0.000714383,0.00022779,0.000324225,-2.09141e-05,1.82934e-07,9.18206e-06,550627
10.0724,0.289698,-0.0574608,-0.0232296,-0.022352,0.0141618,-0.000750291,0.00020725,0.000322166,-2.19907e-05,5.02689e-07,9.65716e-06,552097
10.1059,0.323217,-0.0861913,0.0102892,0.0111668,-0.0145686,-0.000760197,0.000198688,0.000321855,-2.31469e-05,8.13435e-07,1.01502e-05,553628
10.1035,0.316035,-0.0622492,0.00789452,0.00398418,0.0093734,-0.000746632,0.000209991,0.000317979,-2.4271e-05,1.11831e-06,1.06275e-05,555120
10.0485,0.311246,-0.0047884,-0.0471716,-0.000804216,0.0668342,-0.000777229,0.000212468,0.000377345,-2.54581e-05,1.4474e-06,1.11691e-05,556678
10.094,0.325611,-0.071826,-0.00168228,0.013561,-0.000203408,-0.000817118,0.000222884,0.000431749,-2.67599e-05,1.80287e-06,1.18298e-05,558311
10.07,0.323217,-0.0885855,-0.0256243,0.0111668,-0.0169628,-0.000837693,0.000241516,0.000418814,-2.80068e-05,2.15279e-06,1.24707e-05,559818
10.0676,0.296881,-0.0526724,-0.028018,-0.0151694,0.0189502,-0.000880634,0.000238312,0.000420405,-2.93823e-05,2.5369e-06,1.31425e-05,561419
10.0533,0.320823,-0.071826,-0.0423832,0.00877258,-0.000203408,-0.000934245,0.000233441,0.000434681,-3.07644e-05,2.89614e-06,1.37936e-05,562942
10.0676,0.28491,-0.136469,-0.028018,-0.0271404,-0.0648469,-0.000987081,0.000219656,0.000385861,-3.22063e-05,3.23619e-06,1.44094e-05,564443
10.0772,0.280122,-0.110133,-0.0184412,-0.0319288,-0.0385106,-0.00102534,0.000171012,0.000300746,-3.38635e-05,3.5579e-06,1.49748e-05,566090
10.0628,0.318429,-0.0407014,-0.0328064,0.00637838,0.0309212,-0.00106413,0.000151671,0.000295001,-3.54453e-05,3.80217e-06,1.54258e-05,567604
10.058,0.308852,-0.071826,-0.0375948,-0.00319842,-0.000203408,-0.00112211,0.000154289,0.000320297,-3.72456e-05,4.05413e-06,1.59325e-05,569251
10.0868,0.351948,-0.0430956,-0.0088644,0.0398972,0.028527,-0.00115772,0.000182419,0.000342007,-3.89931e-05,4.31222e-06,1.64402e-05,570784
10.0652,0.265756,-0.102951,-0.0304127,-0.046294,-0.031328,-0.00118738,0.000177589,0.000339892,-4.07637e-05,4.58402e-06,1.6955e-05,572294
10.0389,0.311246,-0.0454898,-0.0567484,-0.000804216,0.0261328,-0.00125771,0.000139581,0.0003357,-4.27369e-05,4.83998e-06,1.75002e-05,573908
10.1035,0.301669,-0.0287304,0.00789452,-0.010381,0.0428922,-0.00129624,0.000130762,0.000390126,-4.47507e-05,5.05315e-06,1.80725e-05,575485
10.094,0.301669,-0.0263362,-0.00168228,-0.010381,0.0452864,-0.00129176,0.000115813,0.000453614,-4.6614e-05,5.23068e-06,1.868e-05,576925
10.07,0.339977,-0.059855,-0.0256243,0.0279262,0.0117676,-0.00131361,0.000129849,0.000499258,-4.86983e-05,5.42721e-06,1.94423e-05,578525
10.1107,0.335188,-0.023942,0.0150776,0.0231378,0.0476806,-0.00132087,0.000165032,0.000540217,-5.05135e-05,5.63038e-06,2.01585e-05,579903
10.0796,0.289698,-0.0550666,-0.0160475,-0.022352,0.016556,-0.00132158,0.000165603,0.000586885,-5.24332e-05,5.87059e-06,2.09774e-05,581356
10.0724,0.320823,-0.0167594,-0.0232296,0.00877258,0.0548632,-0.00135051,0.000155602,0.000639486,-5.44012e-05,6.10715e-06,2.18806e-05,582829
10.0868,0.272939,-0.0311246,-0.0088644,-0.0391114,0.040498,-0.00137456,0.000132863,0.000710959,-5.64436e-05,6.32336e-06,2.28927e-05,584328
10.094,0.311246,-0.129287,-0.00168228,-0.000804216,-0.0576642,-0.00138314,0.000100411,0.000697003,-5.86857e-05,6.51301e-06,2.40374e-05,585954
10.0533,0.316035,-0.143652,-0.0423832,0.00398418,-0.0720295,-0.00141645,0.000102815,0.000598954,-6.08021e-05,6.66665e-06,2.50172e-05,587466
10.0556,0.287304,-0.0407014,-0.0399895,-0.0247462,0.0309212,-0.00149586,8.28007e-05,0.000559326,-6.36096e-05,6.84558e-06,2.61337e-05,589394
10.0604,0.280122,-0.0502782,-0.0352011,-0.0319288,0.0213444,-0.00155507,3.81691e-05,0.000600485,-6.60122e-05,6.94085e-06,2.70471e-05,590969
10.0676,0.335188,-0.0622492,-0.028018,0.0231378,0.0093734,-0.00159929,3.20198e-05,0.000621972,-6.82187e-05,6.98995e-06,2.79022e-05,592368
10.0485,0.316035,-0.0766145,-0.0471716,0.00398418,-0.00499181,-0.00168425,6.26676e-05,0.000626923,-7.19291e-05,7.09694e-06,2.93134e-05,594628
10.0724,0.277727,-0.110133,-0.0232296,-0.034323,-0.0385106,-0.00174378,3.70161e-05,0.000590142,-7.48275e-05,7.18122e-06,3.03425e-05,596319
10.0509,0.325611,-0.0981623,-0.0447779,0.013561,-0.0265396,-0.00179951,2.00016e-05,0.000536833,-7.77312e-05,7.22795e-06,3.1266e-05,597958
10.0628,0.318429,-0.0981623,-0.0328064,0.00637838,-0.0265396,-0.00185731,3.48565e-05,0.000497289,-8.04555e-05,7.26882e-06,3.20365e-05,599448
10.0628,0.316035,-0.131681,-0.0328064,0.00398418,-0.0600584,-0.00191059,4.32709e-05,0.000426972,-8.35151e-05,7.33226e-06,3.2787e-05,601072
10.0461,0.318429,-0.124498,-0.0495663,0.00637838,-0.0528758,-0.00197529,5.14107e-05,0.000338262,-8.65674e-05,7.40663e-06,3.3388e-05,602643
10.0748,0.325611,-0.0909797,-0.0208359,0.013561,-0.019357,-0.00202503,6.54978e-05,0.000287229,-8.93937e-05,7.48923e-06,3.383e-05,604056
10.0916,0.318429,-0.0837971,-0.004076,0.00637838,-0.0121744,-0.00204557,8.19378e-05,0.000261232,-9.27499e-05,7.61079e-06,3.42822e-05,605705
10.0796,0.328006,-0.117316,-0.0160475,0.0159552,-0.0456932,-0.00206127,9.9358e-05,0.000216095,-9.59532e-05,7.7522e-06,3.46545e-05,607265
10.082,0.296881,-0.136469,-0.0136528,-0.0151694,-0.0648469,-0.00208191,9.99042e-05,0.00013927,-9.88327e-05,7.89069e-06,3.49015e-05,608655
10.07,0.311246,-0.105345,-0.0256243,-0.000804216,-0.0337222,-0.00212598,8.19817e-05,2.8675e-05,-0.000103554,8.09476e-06,3.50899e-05,610899
10.1203,0.335188,-0.0766145,0.0246544,0.0231378,-0.00499181,-0.00212669,9.84863e-05,6.53454e-08,-0.000106697,8.22813e-06,3.51111e-05,612377
10.1035,0.323217,-0.0502782,0.00789452,0.0111668,0.0213444,-0.00209795,0.000128777,1.45047e-05,-0.000110427,8.4288e-06,3.5124e-05,614143
10.0963,0.304064,-0.0167594,0.000712395,-0.00798681,0.0548632,-0.00209165,0.000131107,7.03268e-05,-0.000113496,8.61917e-06,3.51861e-05,615608
10.0748,0.287304,0.0191536,-0.0208359,-0.0247462,0.0907762,-0.00210802,0.000104478,0.000188804,-0.000116912,8.81081e-06,3.53969e-05,617235
10.0485,0.325611,-0.112527,-0.0471716,0.013561,-0.0409048,-0.00216188,9.56195e-05,0.000228303,-0.000120294,8.96929e-06,3.57273e-05,618819
10.0868,0.287304,-0.110133,-0.0088644,-0.0247462,-0.0385106,-0.00220447,8.71187e-05,0.000167947,-0.000123613,9.10817e-06,3.60284e-05,620339
10.0892,0.328006,-0.0981623,-0.00647068,0.0159552,-0.0265396,-0.00221647,8.02397e-05,0.000117045,-0.000127072,9.23913e-06,3.62514e-05,621904
10.1394,0.311246,-0.0790087,0.043808,-0.000804216,-0.00738601,-0.00218811,9.17469e-05,9.12785e-05,-0.000130417,9.36975e-06,3.64097e-05,623423
10.0772,0.308852,-0.0574608,-0.0184412,-0.00319842,0.0141618,-0.00216952,8.8813e-05,9.62452e-05,-0.000133611,9.50211e-06,3.65471e-05,624889
10.0437,0.277727,-0.11971,-0.05196,-0.034323,-0.0480874,-0.0022244,5.9565e-05,6.98001e-05,-0.000137036,9.61777e-06,3.66765e-05,626448
10.082,0.277727,-0.100556,-0.0136528,-0.034323,-0.0289338,-0.00227259,9.14444e-06,1.3228e-05,-0.000140339,9.66823e-06,3.67375e-05,627917
10.058,0.318429,-0.105345,-0.0375948,0.00637838,-0.0337222,-0.00231464,-1.37842e-05,-3.81813e-05,-0.000144103,9.66443e-06,3.67171e-05,629558
10.0724,0.323217,-0.124498,-0.0232296,0.0111668,-0.0528758,-0.00236165,-2.21739e-07,-0.000105122,-0.000147718,9.6536e-06,3.66063e-05,631104
10.0724,0.304064,-0.107739,-0.0232296,-0.00798681,-0.0361164,-0.00239778,2.25069e-06,-0.000174313,-0.000151419,9.65518e-06,3.6389e-05,632659
10.0461,0.299275,-0.0814029,-0.0495663,-0.0127752,-0.00978021,-0.00245805,-1.49403e-05,-0.000212316,-0.000155439,9.64467e-06,3.60689e-05,634315
10.0341,0.325611,-0.0837971,-0.0615368,0.013561,-0.0121744,-0.00254327,-1.43376e-05,-0.000229155,-0.000159275,9.62221e-06,3.57303e-05,635849
10.07,0.277727,-0.0383072,-0.0256243,-0.034323,0.0333154,-0.00261243,-3.08123e-05,-0.000212379,-0.000163366,9.58639e-06,3.53799e-05,637436
10.0485,0.28491,-0.0502782,-0.0471716,-0.0271404,0.0213444,-0.00266641,-7.63874e-05,-0.000171849,-0.00016728,9.5069e-06,3.5095e-05,638919
10.07,0.294487,-0.0909797,-0.0256243,-0.0175636,-0.019357,-0.00272075,-0.000109759,-0.000170365,-0.000171302,9.36794e-06,3.48396e-05,640412
10.1011,0.292093,-0.112527,0.00550079,-0.0199578,-0.0409048,-0.00273586,-0.000137938,-0.000215622,-0.0001754,9.18192e-06,3.45497e-05,641914
10.058,0.325611,-0.0933739,-0.0375948,0.013561,-0.0217512,-0.00276138,-0.000143023,-0.000265434,-0.00017977,8.95855e-06,3.41672e-05,643504
10.0485,0.323217,-0.100556,-0.0471716,0.0111668,-0.0289338,-0.0028219,-0.000125368,-0.000301623,-0.000183757,8.76692e-06,3.37624e-05,644932
10.0533,0.316035,-0.0550666,-0.0423832,0.00398418,0.016556,-0.00289059,-0.000113747,-0.000311117,-0.000188138,8.58352e-06,3.32924e-05,646466
10.058,0.296881,-0.059855,-0.0375948,-0.0151694,0.0117676,-0.00294889,-0.000121901,-0.000290469,-0.000192395,8.41174e-06,3.28538e-05,647924
10.0556,0.318429,-0.0574608,-0.0399895,0.00637838,0.0141618,-0.0030122,-0.000129074,-0.00026931,-0.000197259,8.20694e-06,3.23971e-05,649556
10.0892,0.332794,-0.114922,-0.00647068,0.0207436,-0.043299,-0.00305009,-0.000106956,-0.000293072,-0.000202203,8.01446e-06,3.19384e-05,651187
10.0916,0.308852,-0.0933739,-0.004076,-0.00319842,-0.0217512,-0.00305825,-9.33763e-05,-0.000343421,-0.000206931,7.8594e-06,3.14458e-05,652735
10.0772,0.320823,-0.0454898,-0.0184412,0.00877258,0.0261328,-0.00307635,-8.88975e-05,-0.0003399,-0.00021186,7.71294e-06,3.08967e-05,654342
10.0652,0.323217,-0.059855,-0.0304127,0.0111668,0.0117676,-0.00311367,-7.36638e-05,-0.000310944,-0.000216589,7.58875e-06,3.03995e-05,655870
10.0844,0.306458,-0.0407014,-0.0112591,-0.00559261,0.0309212,-0.00314511,-6.94581e-05,-0.000278735,-0.000221312,7.48076e-06,2.99546e-05,657379
10.07,0.287304,-0.047884,-0.0256243,-0.0247462,0.0237386,-0.00317108,-9.08166e-05,-0.000240255,-0.000225758,7.36793e-06,2.95892e-05,658787
10.0485,0.294487,-0.00957681,-0.0471716,-0.0175636,0.0620458,-0.00322498,-0.000122147,-0.000176731,-0.000230494,7.21023e-06,2.92804e-05,660268
10.1035,0.337582,-0.0407014,0.00789452,0.025532,0.0309212,-0.00325705,-0.000115641,-0.000100824,-0.000235787,7.01607e-06,2.90538e-05,661901
10.0796,0.316035,-0.0407014,-0.0160475,0.00398418,0.0309212,-0.0032632,-9.33857e-05,-5.41947e-05,-0.000240703,6.85847e-06,2.89369e-05,663409
10.0652,0.304064,-0.059855,-0.0304127,-0.00798681,0.0117676,-0.00329514,-9.61375e-05,-2.48462e-05,-0.000245212,6.72817e-06,2.88826e-05,664784
10.07,0.282516,-0.114922,-0.0256243,-0.0295346,-0.043299,-0.00334529,-0.000129719,-5.30668e-05,-0.000251155,6.52603e-06,2.88129e-05,666574
10.1035,0.299275,-0.0957681,0.00789452,-0.0127752,-0.0241454,-0.00335857,-0.000161388,-0.000103549,-0.000256173,6.30814e-06,2.86956e-05,668071
10.1011,0.342371,-0.0861913,0.00550079,0.0303204,-0.0145686,-0.00334654,-0.000145633,-0.000138314,-0.000262194,6.03243e-06,2.84784e-05,669867
10.1011,0.318429,-0.0550666,0.00550079,0.00637838,0.016556,-0.00333791,-0.000116861,-0.000136756,-0.000267435,5.82664e-06,2.82628e-05,671435
10.1011,0.320823,-0.0646434,0.00550079,0.00877258,0.0069792,-0.00332864,-0.000104088,-0.000116916,-0.000273055,5.64038e-06,2.80489e-05,673121
10.082,0.316035,-0.0287304,-0.0136528,0.00398418,0.0428922,-0.00333451,-9.49036e-05,-8.10085e-05,-0.000277852,5.4971e-06,2.79064e-05,674561
10.0916,0.316035,-0.0430956,-0.004076,0.00398418,0.028527,-0.00334735,-8.91305e-05,-2.92653e-05,-0.000282693,5.36377e-06,2.78265e-05,676010
10.1035,0.296881,-0.0742203,0.00789452,-0.0151694,-0.00259762,-0.00334439,-9.77935e-05,-9.18295e-06,-0.000287876,5.219e-06,2.77968e-05,677559
10.0963,0.301669,-0.0646434,0.000712395,-0.010381,0.0069792,-0.00333788,-0.000117135,-5.8661e-06,-0.000292935,5.0563e-06,2.77854e-05,679073
10.0652,0.316035,-0.102951,-0.0304127,0.00398418,-0.031328,-0.00336017,-0.000121936,-2.41399e-05,-0.000297961,4.87687e-06,2.77628e-05,680574
10.082,0.301669,-0.138864,-0.0136528,-0.010381,-0.0672411,-0.00339447,-0.000126916,-0.000100876,-0.00030322,4.68314e-06,2.76655e-05,682131
10.094,0.316035,-0.0646434,-0.00168228,0.00398418,0.0069792,-0.00340547,-0.000131502,-0.000144084,-0.000308096,4.49786e-06,2.74899e-05,683565
10.0916,0.337582,-0.0694318,-0.004076,0.025532,0.00219079,-0.00341117,-0.000102252,-0.000134996,-0.000314851,4.26621e-06,2.72133e-05,685547
10.0413,0.301669,-0.0646434,-0.0543547,-0.010381,0.0069792,-0.00346113,-8.92978e-05,-0.000127156,-0.000320727,4.10243e-06,2.69892e-05,687257
10.0844,0.349553,-0.0670376,-0.0112591,0.037503,0.00458499,-0.00353209,-5.99653e-05,-0.000114649,-0.00032829,3.941e-06,2.67277e-05,689420
10.0652,0.328006,-0.0742203,-0.0304127,0.0159552,-0.00259762,-0.00356676,-1.54881e-05,-0.000112996,-0.000334196,3.87823e-06,2.65383e-05,691084
10.1011,0.349553,-0.105345,0.00550079,0.037503,-0.0337222,-0.00358595,2.56747e-05,-0.000140962,-0.000339704,3.88607e-06,2.63427e-05,692624
10.0844,0.339977,-0.0790087,-0.0112591,0.0279262,-0.00738601,-0.00359074,8.01445e-05,-0.000175185,-0.000345678,3.97416e-06,2.60795e-05,694289
10.0652,0.328006,-0.0311246,-0.0304127,0.0159552,0.040498,-0.00362258,0.00011367,-0.000149887,-0.000351189,4.12224e-06,2.58312e-05,695817
10.0748,0.344765,-0.035913,-0.0208359,0.0327146,0.0357096,-0.00366319,0.000152241,-8.94925e-05,-0.000356963,4.33297e-06,2.56415e-05,697402
10.0533,0.342371,-0.100556,-0.0423832,0.0303204,-0.0289338,-0.00371143,0.000200336,-8.43226e-05,-0.00036259,4.60199e-06,2.55088e-05,698928
10.1011,0.292093,-0.0694318,0.00550079,-0.0199578,0.00219079,-0.00373883,0.000208036,-0.000104193,-0.000368126,4.90541e-06,2.53688e-05,700414
10.0772,0.356736,-0.107739,-0.0184412,0.0446856,-0.0361164,-0.00374996,0.000229302,-0.000133369,-0.000374566,5.28152e-06,2.51645e-05,702134
10.0509,0.318429,-0.107739,-0.0447779,0.00637838,-0.0361164,-0.00379899,0.000268902,-0.000189385,-0.00038042,5.66788e-06,2.49142e-05,703685
10.0628,0.349553,-0.0407014,-0.0328064,0.037503,0.0309212,-0.00385861,0.000302625,-0.000193378,-0.000386305,6.10709e-06,2.462e-05,705222
10.1011,0.332794,-0.0311246,0.00550079,0.0207436,0.040498,-0.00387901,0.000346135,-0.000140028,-0.000392085,6.59172e-06,2.4371e-05,706716
10.1011,0.287304,-0.0191536,0.00550079,-0.0247462,0.052469,-0.00387121,0.000343297,-7.4114e-05,-0.00039758,7.08052e-06,2.42191e-05,708134
10.0556,0.287304,-0.0837971,-0.0399895,-0.0247462,-0.0121744,-0.00390261,0.000298234,-3.74258e-05,-0.000404658,7.66464e-06,2.41176e-05,709955
10.0724,0.328006,-0.0837971,-0.0232296,0.0159552,-0.0121744,-0.00395157,0.000291426,-5.6284e-05,-0.000410741,8.12133e-06,2.4045e-05,711504
10.0676,0.349553,-0.0885855,-0.028018,0.037503,-0.0169628,-0.00399214,0.000333738,-7.93461e-05,-0.000417028,8.61615e-06,2.39377e-05,713087
10.0509,0.296881,-0.0047884,-0.0447779,-0.0151694,0.0668342,-0.00404728,0.000350655,-4.15685e-05,-0.000423118,9.13458e-06,2.38461e-05,714602
10.0509,0.277727,-0.0526724,-0.0447779,-0.034323,0.0189502,-0.00411342,0.000314105,2.17833e-05,-0.000429145,9.6255e-06,2.38315e-05,716079
10.0868,0.328006,-0.102951,-0.0088644,0.0159552,-0.031328,-0.00415646,0.000299365,1.18501e-05,-0.000435782,1.01178e-05,2.38584e-05,717684
10.0413,0.308852,-0.035913,-0.0543547,-0.00319842,0.0357096,-0.00420476,0.000309111,1.51976e-05,-0.00044217,1.05827e-05,2.38791e-05,719212
